source_path,package_path,decision,role,bytes,sha256,rationale
/Users/dlev2617/Documents/Papers/Published Papers/HighSpeedRail.pdf,paper/HighSpeedRail.pdf,include,final_paper_reference,251396,21f8c7e0d7c9f039111c328f66a0d328848464afd5ced21ec0864e5d3558fe38,Final published paper used for paper-first validation.
/Users/dlev2617/Documents/Papers/~05-Published/Annals of Regional Science/ARS-HSR/Irate.xls,data/analysis_workbooks/original_legacy/ars_hsr_interest_rate_capital_cost.xls,include,paper_cost_workbook,11776,ef120de7d371a44a33204d29e91a3b592c726df378d82595e88ee6ff319d0b61,Original legacy workbook retained as source evidence.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C6 HSR/HSR.XLS,data/analysis_workbooks/original_legacy/full_cost_hsr_tgv_and_system_data.xls,include,hsr_cost_and_tgv_data_workbook,25600,b26166d7dc8af433a2e2cb0473ef160c0975114d5fc0c48d3425fbf849ea5197,Original legacy workbook retained as source evidence.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C6 HSR/Jean-Michel/APP6-D1.XLS,data/analysis_workbooks/original_legacy/hsr_appendix6_d1.xls,include,hsr_simulation_appendix_workbook,45568,6a0010c314f1a205879801e8a16da90f431b236d27c7567b2eff3fbb603d32ba,Original legacy workbook retained as source evidence.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C6 HSR/Jean-Michel/APP6-D2.XLS,data/analysis_workbooks/original_legacy/hsr_appendix6_d2.xls,include,hsr_simulation_appendix_workbook,28672,50a25e79cd025db7c68bda9e29522801f78a3a88aaa129ace959d3ca0cffe157,Original legacy workbook retained as source evidence.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C7 Conclusion/CarHSRWorkSheet,data/analysis_workbooks/original_legacy/car_hsr_comparison_work_sheet.xls,include,mode_comparison_workbook,38400,5519179a34a4b1b1f944abd1d41baf30d314a2fb60d9c8dfe1e2a6301413d8cd,Original legacy workbook retained as source evidence.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/INSERTS/Table7.xls,data/analysis_workbooks/original_legacy/table7_intermodal_full_cost_comparison.xls,include,published_comparison_table_workbook,36864,bf0db7b1f8e5a1a8a3f1f3ddd5f32f1301e81f8990da03a45331cabdaa19f476,Original legacy workbook retained as source evidence.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/Models/NoiseModel/ANoiseModel.xls,data/analysis_workbooks/original_legacy/air_noise_model.xls,include,noise_model_workbook,70144,96e4756909dc1f769c002651d8c653aa9d1aef993169d31e53506e98c9b85629,Original legacy workbook retained as source evidence.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/Models/NoiseModel/RNoiseModel.XLS,data/analysis_workbooks/original_legacy/rail_noise_model.xls,include,noise_model_workbook,39936,62fd10a3193bf43469dcb6a5c300d8a42f641204802526db35e407adc2ec705f,Original legacy workbook retained as source evidence.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/Models/NoiseModel/RNoiseModel.123,data/legacy_model_files/rail_noise_model_lotus123.123,include,legacy_lotus_noise_model,25711,e83db7a051f9f66de5a6367902594bbf96500f8f7312f6ec24aa962988cf9f7a,Legacy model file retained as original; no reliable modern conversion available in this pass.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/Models/NoiseModel/HNoiseModel.123,data/legacy_model_files/highway_noise_model_lotus123.123,include,legacy_lotus_noise_model,25939,7a5731d9d4aefbf2174cbfd7c11358662709b7f36bb3bf9873595fb0abb43a65,Legacy model file retained as original; no reliable modern conversion available in this pass.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/Models/NoiseModel/NoiseModel.exc,data/legacy_model_files/noise_model_legacy_exc,include,legacy_noise_model_file,18266,5b0713f418b8c13d11bce31b8f7ae1936ed86156328272b87ca102f4372fc17c,Legacy model file retained as original; no reliable modern conversion available in this pass.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C3-Social/HSR-noise-extract,data/legacy_model_files/hsr_noise_extract_legacy,include,hsr_noise_extract,198656,5fd4fdffbb378da9646414e9497b83987d7efa147bcaec3c597bcfb28698a88c,Legacy model file retained as original; no reliable modern conversion available in this pass.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/Final++/UCB-ITS-RR-96-3.pdf,documentation/full_cost_report/ucb_its_rr_96_3_cover_toc.pdf,include,full_cost_report_reference,818984,f256797fa366db45dfa9886462755b0f222f9557abdae5aeca21eee8bf098a53,Full Cost Project report cover/table-of-contents reference for project lineage.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C6 HSR/Jean-Michel/READ-ME.DOC,documentation/legacy_model_and_report_notes/original/read_me_hsr_simulation_program.doc,include,simulation_run_instructions,13312,6b213f11691dfe3241e5c735f8bf9e7f452666214b3fa611a2bd3b3b6d081342,Original legacy Word document retained as source/model documentation.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C6 HSR/HSR2.DOC,documentation/legacy_model_and_report_notes/original/hsr2_infrastructure_operating_costs.doc,include,hsr_simulation_method_document,47616,84de5dc65f3c65a35ec25ce0505bbbda76076ee89b76cfc4d1e2d9750f5bd3e6,Original legacy Word document retained as source/model documentation.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C6 HSR/HSR3.DOC,documentation/legacy_model_and_report_notes/original/hsr3_high_speed_line_characteristics.doc,include,hsr_line_characteristics_document,156672,b439acbc02613e8c37776d0cefee5c1694e74a36ea3f25568548a5971acdb52d,Original legacy Word document retained as source/model documentation.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C6 HSR/Jean-Michel/APPEND6.DOC,documentation/legacy_model_and_report_notes/original/appendix6_hsr_simulation_appendix.doc,include,hsr_simulation_appendix,38912,5367ea2a65b8f7f750d56d1d55cab11765aaaa23f549aad5fe4552b70510f668,Original legacy Word document retained as source/model documentation.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/FC Master/C6 - HSR,documentation/legacy_model_and_report_notes/original/fc_master_chapter6_hsr.doc,include,full_cost_hsr_chapter_source,350208,7efab4a57d1c5d29c46ad7828a14f7bd14f3085a0473b77ded485369477e3b9f,Original legacy Word document retained as source/model documentation.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/FC Master/Chapter6-Addendum,documentation/legacy_model_and_report_notes/original/fc_master_chapter6_addendum.doc,include,full_cost_hsr_chapter_addendum,64512,7d0212c358c239839b356b8bbd3de263b79c31c5b8a89a2aad4912a13476f119,Original legacy Word document retained as source/model documentation.
/Users/dlev2617/Documents/Papers/~05-Published/Annals of Regional Science/ARS-HSR/Map_Fig1.msw,documentation/legacy_figure_sources/map_fig1_source.msw,include,map_figure_source,463360,48224738b8a25cb879ddc26e3977e7ab5d1fcea25db8e3264c37854b1a645224,Legacy figure-source document for the Central Valley route map.
/Users/dlev2617/Documents/Papers/~05-Published/Annals of Regional Science/ARS-HSR/Map_Fig1a.msw,documentation/legacy_figure_sources/map_fig1a_source.msw,include,map_figure_source,463360,b4e4806c6ee56d9a0df9092662be48d433cae8548e3a0cf2bab28fa83edae14a,Legacy figure-source document for the Central Valley route map.
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/INSERTS/Table7.txt,documentation/extracted_tables/table7_intermodal_full_cost_comparison_original.txt,include,published_comparison_table_text,8434,c3560ba0654e14b92949597be4e63bcd0b6118709df1d61af4039e173f4800e3,Original text extract of intermodal comparison table.
